"","category","title","url","desc","note","url.n"
"189","primaere","münchener digitalisierungszentrum","https://www.digitale-sammlungen.de/index.html?c=sammlungen_liste&l=de%7Cm%C3%BCnchener%20digitalisierungszentrum","","",""
"190","primaere","österreichische nationalbibliothek","https://data.onb.ac.at/rec/AC10183969","","",""
"191","primaere","deutsche digitale bibliothek","https://www.deutsche-digitale-bibliothek.de","","",""
"192","primaere","QUALAMOS","https://www.qalamos.net/content/index.xed","","",""
"193","primaere","DNB","https://portal.dnb.de/opac/showSearchForm#top","","",""
"194","primaere","herzog august bibl. wolfenbüttel (OPAC braunschweig)","https://opac.lbs-braunschweig.gbv.de","","",""
"195","primaere","hathi trust","https://catalog.hathitrust.org/Record/009802727","digital library","",""
"196","primaere","ZENODO","https://www.zenodo.org","research base","",""
"197","primaere","stabi","https://digital.staatsbibliothek-berlin.de","","",""
"198","primaere","ULB sachsen-anhalt","http://digital.bibliothek.uni-halle.de/hd/","","",""
"199","primaere","goethe uni frankfurt","http://sammlungen.ub.uni-frankfurt.de","","",""
"200","primaere","UB heidelberg","https://www.ub.uni-heidelberg.de/helios/Welcome.html","","",""
"201","primaere","stabi hamburg","https://digitalisate.sub.uni-hamburg.de/startseite.html","","",""
"202","primaere","hmbg university press","https://blogs.sub.uni-hamburg.de/hup/","","",""
"203","primaere","uni potsdam","https://www.uni-potsdam.de/de/svm/index","","",""
"204","primaere","mediatheque institut francais","https://www.ifbibliothek.de","","",""
"205","primaere","voebb.de","https://voebb.de","homepage verbund öffentlicher bibliotheken in BLN","",""
"206","primaere","ETH e-periodica","https://www.e-periodica.ch/digbib/view?pid=alp-004:1953:21::823#585","","",""
"207","primaere","ingenta open","https://www.ingentaopen.com/content/journals/22351272/28/2","zeitschrift für germanistik etc.","",""
"208","primaere","UB Bern linguistik online","https://bop.unibe.ch/linguistik-online/","","",""
"209","primaere","FU refubium","https://refubium.fu-berlin.de/handle/fub188/2/discover","","",""
"210","primaere","kanopy","https://fuberlin.kanopy.com/video/linguists-3","science video platform","",""
