title,url,cat,notes
"projekt gutenberg-DE","https://www.projekt-gutenberg.org/","primaere",""
"hypotheses","https://reticular.hypotheses.org/1745","primaere",""
"semantic scholar","https://www.semanticscholar.org/","primaere",""
"münchener digitalisierungszentrum","https://www.digitale-sammlungen.de/index.html?c=sammlungen_liste&l=de%7Cm%C3%BCnchener%20digitalisierungszentrum","primaere",""
"österreichische nationalbibliothek","https://data.onb.ac.at/rec/AC10183969","primaere",""
"deutsche digitale bibliothek","https://www.deutsche-digitale-bibliothek.de/","primaere",""
"QUALAMOS","https://www.qalamos.net/content/index.xed","primaere",""
"DNB","https://portal.dnb.de/opac/showSearchForm#top","primaere",""
"herzog august bibl. wolfenbüttel (OPAC braunschweig)","https://opac.lbs-braunschweig.gbv.de/","primaere",""
"hathi trust","https://catalog.hathitrust.org/Record/009802727","primaere",""
"ZENODO","https://www.zenodo.org/","primaere",""
"stabi","https://digital.staatsbibliothek-berlin.de/","primaere",""
"ULB sachsen-anhalt","http://digital.bibliothek.uni-halle.de/hd/","primaere",""
"goethe uni frankfurt","http://sammlungen.ub.uni-frankfurt.de/","primaere",""
"UB heidelberg","https://www.ub.uni-heidelberg.de/helios/Welcome.html","primaere",""
"stabi hamburg","https://digitalisate.sub.uni-hamburg.de/startseite.html","primaere",""
"hmbg university press","https://blogs.sub.uni-hamburg.de/hup/","primaere",""
"uni potsdam","https://www.uni-potsdam.de/de/svm/index","primaere",""
"mediatheque institut francais","https://www.ifbibliothek.de/","primaere",""
"voebb.de","https://voebb.de/","primaere",""
"ETH e-periodica","https://www.e-periodica.ch/digbib/view?pid=alp-004:1953:21::823#585","primaere",""
"ingenta open","https://www.ingentaopen.com/content/journals/22351272/28/2","primaere",""
"UB Bern linguistik online","https://bop.unibe.ch/linguistik-online/","primaere",""
"FU refubium","https://refubium.fu-berlin.de/handle/fub188/2/discover","primaere",""
"kanopy","https://fuberlin.kanopy.com/video/linguists-3","primaere",""
"Det Kgl. Bibliotek - drama","https://soeg.kb.dk/discovery/search?query=any,contains,drama&tab=Everything&search_scope=MyInst_and_CI&vid=45KBDK_KGL:KGL&facet=lang,include,dan&facet=tlevel,include,open_access&mfacet=tlevel,include,online_resources,1&mfacet=rtype,include,books,1&lang=en&offset=0","primaere",""
